Maj_Cat,HC,SF,ECA,MA,TU,SP,ZO,AT,AN,AS,OL,BS,UN
Bitou_T1,186,0,51,212,470,0,57,0,0,0,6,25,0
Bitou_T2,270,5,51,257,367,0,30,0,0,0,1,27,0
Bitou_T3,167,3,39,241,512,0,31,0,0,0,3,8,0
Bitou_T4,251,9,51,261,415,0,4,0,0,0,2,9,0
Bitou_T5,77,1,22,445,448,0,3,0,0,0,1,14,0
Chaikou_T1,508,15,62,112,273,1,1,0,0,0,0,28,0
Chaikou_T2,414,12,100,135,311,15,3,0,0,0,0,28,0
Chaikou_T3,446,43,45,153,287,0,4,0,0,0,0,24,0
Chaikou_T4,474,30,65,110,297,0,5,0,0,0,2,21,0
Chaikou_T5,333,9,90,208,322,34,3,0,0,0,0,53,0
Chinwan_Inner_Bay_T1,59,1,3,0,323,27,0,0,0,0,6,614,0
Chinwan_Inner_Bay_T2,22,0,1,0,331,13,0,0,0,0,0,661,0
Chinwan_Inner_Bay_T3,47,0,4,2,607,13,0,0,0,0,0,354,0
Chinwan_Inner_Bay_T4,22,0,1,0,577,26,0,0,0,0,2,398,0
Chinwan_Inner_Bay_T5,10,0,0,0,437,13,0,0,0,0,0,564,0
Cimei_T1,15,21,2,8,976,0,4,0,0,0,0,12,0
Cimei_T2,228,68,1,15,642,0,0,0,0,0,0,58,0
Cimei_T3,36,3,3,0,803,0,0,0,0,0,4,168,0
Cimei_T4,134,2,2,18,852,6,0,0,0,0,0,3,0
Cimei_T5,110,18,0,12,647,0,0,0,0,0,0,226,0
Dabaisha_T1,247,462,23,17,65,0,0,0,26,2,0,186,0
Dabaisha_T2,340,343,19,30,99,3,2,0,118,2,0,56,0
Dabaisha_T3,427,184,18,54,272,4,0,0,1,0,1,57,1
Dabaisha_T4,590,313,9,10,46,0,0,0,2,0,0,29,0
Dabaisha_T5,509,364,6,23,82,1,0,0,0,0,1,28,0
Dingbaisha_T1,55,3,1,70,879,1,0,0,0,6,1,12,0
Dingbaisha_T2,105,2,4,90,790,6,0,0,0,4,2,17,0
Dingbaisha_T3,15,3,0,89,897,0,0,0,0,2,3,5,0
Dingbaisha_T4,23,1,0,159,765,1,0,0,0,0,4,59,0
Dingbaisha_T5,44,0,0,109,648,0,2,0,0,0,6,206,0
Gongguan_T1,507,31,43,62,309,4,1,0,0,0,1,42,0
Gongguan_T2,482,13,46,82,372,3,2,0,0,0,0,9,1
Gongguan_T3,431,62,21,53,424,0,4,0,0,0,1,14,0
Gongguan_T4,464,19,39,103,361,0,1,0,2,0,1,14,0
Gongguan_T5,390,47,41,89,371,20,2,0,0,0,1,30,0
Gupoyu_T1,392,23,13,57,492,0,0,0,0,0,0,26,0
Gupoyu_T2,153,0,15,21,744,0,1,0,0,0,4,77,0
Gupoyu_T3,159,0,21,59,556,6,0,0,0,0,0,219,0
Gupoyu_T4,305,5,35,17,570,1,0,0,0,0,1,82,0
Gupoyu_T5,402,2,5,32,429,0,0,0,0,0,1,152,0
Hongchai_T1,18,0,2,60,856,1,0,0,0,1,0,90,0
Hongchai_T2,32,0,0,53,847,0,0,0,0,0,1,90,0
Hongchai_T3,38,0,3,54,831,1,0,0,0,1,0,103,0
Hongchai_T4,35,0,4,72,874,2,0,0,0,0,4,39,0
Hongchai_T5,19,0,13,68,854,0,0,0,0,0,2,66,0
Houbihu_T1,545,67,35,70,177,0,2,0,0,1,0,108,0
Houbihu_T2,296,322,36,27,198,4,3,0,0,0,0,109,1
Houbihu_T3,459,168,57,28,190,3,2,0,0,0,2,70,0
Houbihu_T4,647,90,32,6,140,2,0,0,0,0,6,63,0
Houbihu_T5,446,114,24,11,225,1,1,0,0,0,0,186,0
Jialeshuei_T1,306,63,71,98,416,0,2,0,43,0,4,17,0
Jialeshuei_T2,495,19,126,86,254,0,0,0,0,0,7,4,0
Jialeshuei_T3,588,52,102,104,120,0,21,0,0,0,7,1,0
